tempStream expectedOffset: 291677, readIncrement: 1025
tempStream expectedOffset: 292023, readIncrement: 1025
tempStream expectedOffset: 293048, readIncrement: 1025
tempStream expectedOffset: 293394, readIncrement: 1025
tempStream expectedOffset: 294419, readIncrement: 1025
tempStream expectedOffset: 294765, readIncrement: 1025
tempStream expectedOffset: 295790, readIncrement: 1025
tempStream expectedOffset: 296136, readIncrement: 1025
tempStream expectedOffset: 297161, readIncrement: 1025
tempStream expectedOffset: 297507, readIncrement: 1025
tempStream expectedOffset: 298532, readIncrement: 1025
tempStream expectedOffset: 298878, readIncrement: 1025
tempStream expectedOffset: 299903, readIncrement: 1025
tempStream expectedOffset: 300249, readIncrement: 1025
tempStream expectedOffset: 301274, readIncrement: 1025
tempStream expectedOffset: 301620, readIncrement: 1025
tempStream expectedOffset: 302645, readIncrement: 1025
tempStream expectedOffset: 302991, readIncrement: 1025
tempStream expectedOffset: 304016, readIncrement: 1025
tempStream expectedOffset: 304362, readIncrement: 1025
tempStream expectedOffset: 305387, readIncrement: 1025
tempStream expectedOffset: 305733, readIncrement: 1025
tempStream expectedOffset: 306758, readIncrement: 1025
tempStream expectedOffset: 307104, readIncrement: 1025
tempStream expectedOffset: 308129, readIncrement: 1025
tempStream expectedOffset: 308475, readIncrement: 1025
tempStream expectedOffset: 309500, readIncrement: 1025
tempStream expectedOffset: 309846, readIncrement: 1025
tempStream expectedOffset: 310871, readIncrement: 1025
tempStream expectedOffset: 311217, readIncrement: 1025
tempStream expectedOffset: 312242, readIncrement: 1025
tempStream expectedOffset: 312588, readIncrement: 1025
tempStream expectedOffset: 313613, readIncrement: 1025
tempStream expectedOffset: 313959, readIncrement: 1025
tempStream expectedOffset: 314984, readIncrement: 1025
tempStream expectedOffset: 315330, readIncrement: 1025
tempStream expectedOffset: 316355, readIncrement: 1025
tempStream expectedOffset: 316701, readIncrement: 1025
tempStream expectedOffset: 317726, readIncrement: 1025
tempStream expectedOffset: 318072, readIncrement: 1025
tempStream expectedOffset: 319097, readIncrement: 1025
tempStream expectedOffset: 319443, readIncrement: 1025
tempStream expectedOffset: 320468, readIncrement: 1025
tempStream expectedOffset: 320814, readIncrement: 1025
tempStream expectedOffset: 321839, readIncrement: 1025
tempStream expectedOffset: 322185, readIncrement: 1025
tempStream expectedOffset: 323210, readIncrement: 1025
tempStream expectedOffset: 323556, readIncrement: 1025
tempStream expectedOffset: 324581, readIncrement: 1025
tempStream expectedOffset: 324927, readIncrement: 1025
tempStream expectedOffset: 325952, readIncrement: 1025
tempStream expectedOffset: 326298, readIncrement: 1025
tempStream expectedOffset: 327323, readIncrement: 1025
tempStream expectedOffset: 327669, readIncrement: 1025
tempStream expectedOffset: 328694, readIncrement: 1025
tempStream expectedOffset: 329040, readIncrement: 1025
tempStream expectedOffset: 330065, readIncrement: 1025
