tempStream expectedOffset: 363315, readIncrement: 1024
tempStream expectedOffset: 364339, readIncrement: 1024
tempStream expectedOffset: 364686, readIncrement: 1024
tempStream expectedOffset: 365710, readIncrement: 1024
tempStream expectedOffset: 366057, readIncrement: 1024
tempStream expectedOffset: 367081, readIncrement: 1024
tempStream expectedOffset: 367428, readIncrement: 1024
tempStream expectedOffset: 368452, readIncrement: 1024
tempStream expectedOffset: 368799, readIncrement: 1024
tempStream expectedOffset: 369823, readIncrement: 1024
tempStream expectedOffset: 370170, readIncrement: 1024
tempStream expectedOffset: 371194, readIncrement: 1024
tempStream expectedOffset: 371541, readIncrement: 1024
tempStream expectedOffset: 372565, readIncrement: 1024
tempStream expectedOffset: 372912, readIncrement: 1024
tempStream expectedOffset: 373936, readIncrement: 1024
tempStream expectedOffset: 374283, readIncrement: 1024
tempStream expectedOffset: 375307, readIncrement: 1024
tempStream expectedOffset: 375654, readIncrement: 1024
tempStream expectedOffset: 376678, readIncrement: 1024
tempStream expectedOffset: 377025, readIncrement: 1024
tempStream expectedOffset: 378049, readIncrement: 1024
tempStream expectedOffset: 378396, readIncrement: 1024
tempStream expectedOffset: 379420, readIncrement: 1024
tempStream expectedOffset: 379767, readIncrement: 1024
tempStream expectedOffset: 380791, readIncrement: 1024
tempStream expectedOffset: 381138, readIncrement: 1024
tempStream expectedOffset: 382162, readIncrement: 1024
tempStream expectedOffset: 382509, readIncrement: 1024
tempStream expectedOffset: 383533, readIncrement: 1024
